class,18:64:72:2e:b5:a0,18:64:72:2e:b5:a1,18:64:72:2e:b5:a2,94:b4:0f:f8:e1:f0,94:b4:0f:f8:e1:f1,94:b4:0f:f8:e1:f2,18:64:72:2e:af:d1,18:64:72:2e:af:d0,18:64:72:2e:af:d2,98:fc:11:6e:bf:d2,18:64:72:2e:97:e1,18:64:72:2e:97:e0,18:64:72:2e:97:e2,94:b4:0f:f8:e0:70,94:b4:0f:f8:e0:71,94:b4:0f:f8:e0:72,8a:15:04:70:40:bf,90:72:40:22:c3:a2,d8:9d:67:ec:95:20,50:65:f3:ff:92:6c,94:b4:0f:f8:c8:10,94:b4:0f:f8:c8:11,94:b4:0f:f8:c8:12,18:64:72:2e:bf:f0,18:64:72:2e:bf:f1,18:64:72:2e:bf:f2,20:cf:30:88:31:e9,94:b4:0f:b0:07:01,94:b4:0f:b0:07:00,94:b4:0f:b0:07:02,94:b4:0f:f8:ed:81,94:b4:0f:f8:ed:80,94:b4:0f:f8:ed:82,18:64:72:2e:9e:92,18:64:72:2e:9e:91,18:64:72:2e:9e:90,32:cd:a7:b5:13:97,f4:f2:6d:48:dd:8f,94:b4:0f:b0:07:12,94:b4:0f:b0:07:10,94:b4:0f:b0:07:11,94:b4:0f:f8:ed:92,94:b4:0f:f8:ed:90,94:b4:0f:f8:ed:91,18:64:72:2e:9e:80,18:64:72:2e:9e:81,18:64:72:2e:9e:82,18:64:72:2e:97:f0,18:64:72:2e:97:f1,18:64:72:2e:97:f2,94:b4:0f:f8:e7:d0,94:b4:0f:f8:e7:d1,94:b4:0f:f8:e7:d2,18:64:72:2e:b4:f2,18:64:72:2e:b4:f0,18:64:72:2e:b4:f1,84:c9:b2:63:3f:a6,f4:f2:6d:48:dd:90,153545410,94:b4:0f:f8:e7:c1,94:b4:0f:f8:e7:c0,94:b4:0f:f8:e7:c2,153530970,153530971,18:64:72:2e:b4:e2,18:64:72:2e:b4:e1,18:64:72:2e:b4:e0,18:64:72:2e:a3:32,18:64:72:2e:a3:31,18:64:72:2e:a3:30,94:b4:0f:f8:e1:72,94:b4:0f:f8:e1:71,94:b4:0f:f8:e1:70,5c:96:9d:65:07:aa,94:b4:0f:f8:e1:e1,94:b4:0f:f8:e1:e0,18:64:72:2e:bf:e1,18:64:72:2e:bf:e0,18:64:72:2e:bf:e2,94:b4:0f:f8:e1:e2,18:64:72:2e:a3:20,18:64:72:2e:a3:21,18:64:72:2e:a3:22,30:46:9a:96:1b:44,94:b4:0f:b0:04:31,94:b4:0f:b0:04:30,94:b4:0f:b0:04:32,94:b4:0f:f8:e1:60,94:b4:0f:f8:e1:61,94:b4:0f:f8:e1:62,94:b4:0f:f8:e7:a2,94:b4:0f:f8:e7:a1,94:b4:0f:f8:e7:a0,18:64:72:2e:af:c0,18:64:72:2e:af:c1,18:64:72:2e:af:c2,2147483647,5c:96:9d:65:07:a9,c0:ff:d4:ac:fb:27,94:b4:0f:f8:e0:62,94:b4:0f:f8:e0:61,94:b4:0f:f8:e0:60,94:b4:0f:b0:04:22,94:b4:0f:b0:04:20,94:b4:0f:b0:04:21
R500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-87.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
R500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-87.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
R500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-87.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
R500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-88.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
R500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-84.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
R500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-85.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
R500,?,?,?,?,?,?,?,?,?,?,?,?,-86.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
R500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-79.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
R500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-89.0,?,?,?,?,?,?,?,?
R500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-95.0,?,?,?,?,?,?,?,?
R500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-101.0,?,?,?,?,?,?,?,?
R500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-103.0,?,?,?,?,?,?,?,?
